,amoxicillin,ampicillin,aztreonam,cefepime,cefotaxime,cefoxitin,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,piperacillin,tobramycin,trimethoprim,sulfamethoxazole
493,1,,,,1,,,1,1,0,1,,,
494,1,,,,0,,0,0,0,0,0,,,
495,1,,,,0,,0,0,0,0,0,,,
496,1,,,,0,,0,1,1,0,0,,,
497,1,,,,0,,0,0,0,0,0,,,
498,1,,,,0,,0,0,0,0,0,,,
499,1,,,,0,,0,1,1,1,0,,,
500,1,,,,0,,0,0,0,0,0,,,
501,1,,,,0,,0,0,0,0,0,,,
502,1,,,,0,,0,1,1,0,1,,,
503,1,,,,0,,0,0,0,0,0,,,
504,1,,,,0,,0,0,0,0,0,,,
505,1,,,,0,,0,0,0,0,0,,,
506,1,,,,0,,0,0,0,0,0,,,
507,1,,,,0,,0,0,0,0,0,,,
508,1,,,,0,,0,0,0,0,0,,,
509,1,,,,0,,0,0,0,0,0,,,
510,1,,,,0,,0,0,0,0,0,,,
511,1,,,,0,,0,0,0,0,0,,,
512,1,,,,0,,0,0,0,0,0,,,
513,1,,,,0,,0,0,0,0,0,,,
514,1,,,,0,,0,1,0,0,0,,,
515,1,,,,0,,0,0,0,0,0,,,
516,1,,,,0,,0,0,1,1,1,,,
517,1,,,,0,,0,0,0,0,0,,,
518,1,,,,0,,0,1,0,0,0,,,
519,1,,,,0,,0,0,0,0,0,,,
520,1,,,,0,,0,1,0,0,0,,,
521,1,,,,0,,0,0,0,0,1,,,
522,1,,,,0,,0,0,0,0,0,,,
523,1,,,,0,,0,0,1,,0,,,
524,1,,,,0,,0,0,0,0,0,,,
525,1,,,,0,,0,0,0,0,0,,,
526,1,,,,0,,0,1,0,0,0,,,
527,1,,,,0,,0,0,0,0,0,,,
528,1,,,,0,,0,0,0,0,0,,,
529,1,,,,0,,0,0,0,0,0,,,
530,1,,,,0,,0,0,0,0,0,,,
531,1,,,,0,,0,0,0,0,0,,,
532,1,,,,0,,0,0,0,0,0,,,
533,1,,,,0,,0,0,0,0,0,,,
534,1,,,,0,,0,0,0,0,0,,,
535,1,,,,0,,0,0,0,0,0,,,
536,1,,,,0,,0,0,0,0,0,,,
537,1,,,,0,,0,0,0,0,0,,,
538,1,,,,0,,0,0,0,1,0,,,
539,1,,,,0,,0,0,1,1,0,,,
540,1,,,,0,,0,0,1,0,0,,,
541,1,,,,0,,0,0,0,0,0,,,
542,1,,,,0,,0,0,0,0,0,,,
543,1,,,,1,,1,1,1,0,0,,,
544,1,,,,0,,0,0,0,0,0,,,
545,1,,,,0,,0,0,0,0,0,,,
546,1,,,,1,,1,1,1,1,0,,,
547,1,,,,1,,,1,1,0,0,,,
548,1,,,,0,,0,0,0,0,0,,,
549,1,,,,0,,0,0,0,0,0,,,
550,1,,,,0,,0,0,0,0,0,,,
551,1,,,,,,,1,0,0,0,,,
552,1,,,,0,,0,0,0,0,0,,,
553,1,,,,0,,0,0,0,0,0,,,
554,1,,,,0,,0,0,0,0,0,,,
555,1,,,,0,,0,0,0,0,0,,,
556,1,,,,0,,0,0,0,0,0,,,
557,1,,,,0,,0,0,0,0,0,,,
558,1,,,,0,,0,0,0,0,0,,,
559,1,,,,0,,0,0,1,0,0,,,
560,1,,,,0,,0,0,1,1,0,,,
561,1,,,,0,,0,0,0,0,0,,,
562,1,,,,0,,0,0,0,0,0,,,
563,1,,,,0,,0,0,1,0,0,,,
564,1,,,,0,,0,0,0,0,0,,,
565,1,,,,0,,0,0,0,0,0,,,
566,1,,,,1,,1,1,1,0,0,,,
567,1,,,,0,,0,0,0,0,0,,,
568,1,,,,0,,0,0,0,0,0,,,
569,1,,,,0,,0,0,0,0,0,,,
570,1,,,,0,,0,0,0,0,0,,,
571,1,,,,0,,0,0,0,0,0,,,
572,1,,,,0,,0,0,0,0,0,,,
573,1,,,,0,,0,0,0,1,0,,,
574,1,,,,,,1,1,1,0,0,,,
